'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtLeast1(01_BB_540)';'AtLeast1';'01_BB_540';;0.603;0.364;0.219
'AtMost1(01_BB_540)';'AtMost1';'01_BB_540';;1.000;0.603;0.364
'NotChainSuccession(01_BB_540, 01_BB_630)';'NotChainSuccession';'01_BB_540';'01_BB_630';1.000;0.072;0.044
'NotChainSuccession(01_BB_540, 01_BB_765)';'NotChainSuccession';'01_BB_540';'01_BB_765';0.896;0.051;0.031
'RespondedExistence(01_BB_540, 01_BB_770)';'RespondedExistence';'01_BB_540';'01_BB_770';0.646;0.389;0.166
'NotChainSuccession(01_BB_540, 01_BB_770)';'NotChainSuccession';'01_BB_540';'01_BB_770';0.764;0.327;0.197
'NotChainSuccession(01_BB_540, 01_BB_775)';'NotChainSuccession';'01_BB_540';'01_BB_775';0.796;0.253;0.153
'NotSuccession(01_BB_540, 01_HOOFD_010)';'NotSuccession';'01_BB_540';'01_HOOFD_010';1.000;0.603;0.602
'NotSuccession(01_BB_540, 01_HOOFD_011)';'NotSuccession';'01_BB_540';'01_HOOFD_011';1.000;0.603;0.413
'NotSuccession(01_BB_540, 01_HOOFD_015)';'NotSuccession';'01_BB_540';'01_HOOFD_015';1.000;0.603;0.602
'NotSuccession(01_BB_540, 01_HOOFD_020)';'NotSuccession';'01_BB_540';'01_HOOFD_020';1.000;0.603;0.601
'NotSuccession(01_BB_540, 01_HOOFD_030_1)';'NotSuccession';'01_BB_540';'01_HOOFD_030_1';1.000;0.119;0.072
'NotSuccession(01_BB_540, 01_HOOFD_030_2)';'NotSuccession';'01_BB_540';'01_HOOFD_030_2';1.000;0.117;0.070
'NotSuccession(01_BB_540, 01_HOOFD_040)';'NotSuccession';'01_BB_540';'01_HOOFD_040';1.000;0.309;0.186
'NotSuccession(01_BB_540, 01_HOOFD_050)';'NotSuccession';'01_BB_540';'01_HOOFD_050';1.000;0.418;0.252
'NotSuccession(01_BB_540, 01_HOOFD_060)';'NotSuccession';'01_BB_540';'01_HOOFD_060';1.000;0.301;0.182
'NotSuccession(01_BB_540, 01_HOOFD_061)';'NotSuccession';'01_BB_540';'01_HOOFD_061';1.000;0.494;0.298
'NotSuccession(01_BB_540, 01_HOOFD_065_0)';'NotSuccession';'01_BB_540';'01_HOOFD_065_0';1.000;0.513;0.309
'NotSuccession(01_BB_540, 01_HOOFD_065_1)';'NotSuccession';'01_BB_540';'01_HOOFD_065_1';1.000;0.603;0.574
'NotSuccession(01_BB_540, 01_HOOFD_065_2)';'NotSuccession';'01_BB_540';'01_HOOFD_065_2';1.000;0.603;0.540
'NotSuccession(01_BB_540, 01_HOOFD_090)';'NotSuccession';'01_BB_540';'01_HOOFD_090';1.000;0.239;0.144
'NotChainSuccession(01_BB_540, 01_HOOFD_100)';'NotChainSuccession';'01_BB_540';'01_HOOFD_100';1.000;0.173;0.104
'NotSuccession(01_BB_540, 01_HOOFD_101)';'NotSuccession';'01_BB_540';'01_HOOFD_101';1.000;0.296;0.179
'NotSuccession(01_BB_540, 01_HOOFD_110)';'NotSuccession';'01_BB_540';'01_HOOFD_110';1.000;0.398;0.240
'NotSuccession(01_BB_540, 01_HOOFD_110_0)';'NotSuccession';'01_BB_540';'01_HOOFD_110_0';1.000;0.498;0.300
'NotSuccession(01_BB_540, 01_HOOFD_110_2)';'NotSuccession';'01_BB_540';'01_HOOFD_110_2';1.000;0.051;0.031
