'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotSuccession(01_BB_540, 01_HOOFD_010)';'NotSuccession';'01_BB_540';'01_HOOFD_010';1.000;0.113;0.113
'NotSuccession(01_BB_540, 01_HOOFD_011)';'NotSuccession';'01_BB_540';'01_HOOFD_011';1.000;0.113;0.075
'RespondedExistence(01_BB_540, 01_HOOFD_015)';'RespondedExistence';'01_BB_540';'01_HOOFD_015';1.000;0.113;0.113
'NotChainSuccession(01_BB_540, 01_HOOFD_015)';'NotChainSuccession';'01_BB_540';'01_HOOFD_015';1.000;0.113;0.113
'NotSuccession(01_BB_540, 01_HOOFD_020)';'NotSuccession';'01_BB_540';'01_HOOFD_020';1.000;0.113;0.112
'RespondedExistence(01_BB_540, 01_HOOFD_030_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_030_1';0.748;0.084;0.078
'NotChainSuccession(01_BB_540, 01_HOOFD_030_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_030_1';1.000;0.113;0.104
'NotSuccession(01_BB_540, 01_HOOFD_030_2)';'NotSuccession';'01_BB_540';'01_HOOFD_030_2';1.000;0.113;0.099
'NotSuccession(01_BB_540, 01_HOOFD_040)';'NotSuccession';'01_BB_540';'01_HOOFD_040';1.000;0.113;0.037
'NotSuccession(01_BB_540, 01_HOOFD_050)';'NotSuccession';'01_BB_540';'01_HOOFD_050';1.000;0.113;0.044
'NotSuccession(01_BB_540, 01_HOOFD_060)';'NotSuccession';'01_BB_540';'01_HOOFD_060';1.000;0.113;0.036
'NotSuccession(01_BB_540, 01_HOOFD_061)';'NotSuccession';'01_BB_540';'01_HOOFD_061';1.000;0.113;0.056
'NotSuccession(01_BB_540, 01_HOOFD_065_0)';'NotSuccession';'01_BB_540';'01_HOOFD_065_0';1.000;0.113;0.047
'NotChainSuccession(01_BB_540, 01_HOOFD_065_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_065_1';1.000;0.113;0.061
'NotSuccession(01_BB_540, 01_HOOFD_065_2)';'NotSuccession';'01_BB_540';'01_HOOFD_065_2';1.000;0.113;0.061
'NotSuccession(01_BB_540, 01_HOOFD_090)';'NotSuccession';'01_BB_540';'01_HOOFD_090';1.000;0.113;0.024
'NotSuccession(01_BB_540, 01_HOOFD_100_0)';'NotSuccession';'01_BB_540';'01_HOOFD_100_0';1.000;0.113;0.038
'NotSuccession(01_BB_540, 01_HOOFD_101)';'NotSuccession';'01_BB_540';'01_HOOFD_101';1.000;0.113;0.079
'NotChainSuccession(01_BB_540, 01_HOOFD_110)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110';1.000;0.113;0.044
'NotSuccession(01_BB_540, 01_HOOFD_110_0)';'NotSuccession';'01_BB_540';'01_HOOFD_110_0';1.000;0.113;0.044
'NotChainSuccession(01_BB_540, 01_HOOFD_120)';'NotChainSuccession';'01_BB_540';'01_HOOFD_120';1.000;0.113;0.041
'NotSuccession(01_BB_540, 01_HOOFD_130)';'NotSuccession';'01_BB_540';'01_HOOFD_130';1.000;0.113;0.021
'NotSuccession(01_BB_540, 01_HOOFD_180)';'NotSuccession';'01_BB_540';'01_HOOFD_180';1.000;0.113;0.097
'RespondedExistence(01_BB_540, 01_HOOFD_195)';'RespondedExistence';'01_BB_540';'01_HOOFD_195';0.859;0.097;0.064
'NotChainSuccession(01_BB_540, 01_HOOFD_195)';'NotChainSuccession';'01_BB_540';'01_HOOFD_195';0.998;0.112;0.074
'NotSuccession(01_BB_540, 01_HOOFD_196)';'NotSuccession';'01_BB_540';'01_HOOFD_196';1.000;0.113;0.030
'NotSuccession(01_BB_540, 01_HOOFD_200)';'NotSuccession';'01_BB_540';'01_HOOFD_200';1.000;0.113;0.088
'NotSuccession(01_BB_540, 01_HOOFD_250)';'NotSuccession';'01_BB_540';'01_HOOFD_250';0.996;0.112;0.036
'RespondedExistence(01_BB_540, 01_HOOFD_250_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_250_1';0.526;0.059;0.022
'NotChainSuccession(01_BB_540, 01_HOOFD_250_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_250_1';1.000;0.113;0.041
'RespondedExistence(01_BB_540, 01_HOOFD_250_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_250_2';0.526;0.059;0.022
'NotChainSuccession(01_BB_540, 01_HOOFD_250_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_250_2';1.000;0.113;0.041
'NotChainSuccession(01_BB_540, 01_HOOFD_260)';'NotChainSuccession';'01_BB_540';'01_HOOFD_260';1.000;0.113;0.036
'NotSuccession(01_BB_540, 01_HOOFD_330)';'NotSuccession';'01_BB_540';'01_HOOFD_330';1.000;0.113;0.079
'RespondedExistence(01_BB_540, 01_HOOFD_370)';'RespondedExistence';'01_BB_540';'01_HOOFD_370';0.859;0.097;0.064
'NotChainSuccession(01_BB_540, 01_HOOFD_370)';'NotChainSuccession';'01_BB_540';'01_HOOFD_370';0.998;0.112;0.075
'RespondedExistence(01_BB_540, 01_HOOFD_375)';'RespondedExistence';'01_BB_540';'01_HOOFD_375';1.000;0.113;0.087
'NotChainSuccession(01_BB_540, 01_HOOFD_375)';'NotChainSuccession';'01_BB_540';'01_HOOFD_375';1.000;0.113;0.087
'NotSuccession(01_BB_540, 01_HOOFD_380)';'NotSuccession';'01_BB_540';'01_HOOFD_380';1.000;0.113;0.087
'NotSuccession(01_BB_540, 01_HOOFD_430)';'NotSuccession';'01_BB_540';'01_HOOFD_430';1.000;0.113;0.079
'NotSuccession(01_BB_540, 01_HOOFD_470)';'NotSuccession';'01_BB_540';'01_HOOFD_470';1.000;0.113;0.023
'NotSuccession(01_BB_540, 01_HOOFD_480)';'NotSuccession';'01_BB_540';'01_HOOFD_480';1.000;0.113;0.080
'RespondedExistence(01_BB_540, 01_HOOFD_490_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_490_1';1.000;0.113;0.086
'NotChainSuccession(01_BB_540, 01_HOOFD_490_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_1';1.000;0.113;0.086
