'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtLeast1(01_BB_540)';'AtLeast1';'01_BB_540';;0.612;0.374;0.229
'AtMost1(01_BB_540)';'AtMost1';'01_BB_540';;1.000;0.612;0.374
'NotChainSuccession(01_BB_540, 01_BB_630)';'NotChainSuccession';'01_BB_540';'01_BB_630';1.000;0.064;0.039
'NotChainSuccession(01_BB_540, 01_BB_765)';'NotChainSuccession';'01_BB_540';'01_BB_765';0.891;0.089;0.055
'RespondedExistence(01_BB_540, 01_BB_770)';'RespondedExistence';'01_BB_540';'01_BB_770';0.976;0.597;0.388
'NotChainSuccession(01_BB_540, 01_BB_770)';'NotChainSuccession';'01_BB_540';'01_BB_770';0.620;0.379;0.247
'NotChainSuccession(01_BB_540, 01_BB_775)';'NotChainSuccession';'01_BB_540';'01_BB_775';0.904;0.245;0.150
'NotSuccession(01_BB_540, 01_HOOFD_010)';'NotSuccession';'01_BB_540';'01_HOOFD_010';1.000;0.612;0.611
'NotSuccession(01_BB_540, 01_HOOFD_011)';'NotSuccession';'01_BB_540';'01_HOOFD_011';1.000;0.612;0.412
'RespondedExistence(01_BB_540, 01_HOOFD_015)';'RespondedExistence';'01_BB_540';'01_HOOFD_015';1.000;0.612;0.611
'NotChainSuccession(01_BB_540, 01_HOOFD_015)';'NotChainSuccession';'01_BB_540';'01_HOOFD_015';1.000;0.612;0.611
'RespondedExistence(01_BB_540, 01_HOOFD_020)';'RespondedExistence';'01_BB_540';'01_HOOFD_020';1.000;0.612;0.611
'NotSuccession(01_BB_540, 01_HOOFD_020)';'NotSuccession';'01_BB_540';'01_HOOFD_020';0.999;0.611;0.610
'NotSuccession(01_BB_540, 01_HOOFD_030_1)';'NotSuccession';'01_BB_540';'01_HOOFD_030_1';1.000;0.612;0.580
'RespondedExistence(01_BB_540, 01_HOOFD_030_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_030_2';0.942;0.576;0.536
'NotChainSuccession(01_BB_540, 01_HOOFD_030_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_030_2';1.000;0.612;0.569
'NotChainSuccession(01_BB_540, 01_HOOFD_040)';'NotChainSuccession';'01_BB_540';'01_HOOFD_040';1.000;0.323;0.197
'RespondedExistence(01_BB_540, 01_HOOFD_050)';'RespondedExistence';'01_BB_540';'01_HOOFD_050';0.574;0.351;0.170
'NotChainSuccession(01_BB_540, 01_HOOFD_050)';'NotChainSuccession';'01_BB_540';'01_HOOFD_050';1.000;0.484;0.296
'NotChainSuccession(01_BB_540, 01_HOOFD_060)';'NotChainSuccession';'01_BB_540';'01_HOOFD_060';1.000;0.322;0.197
'NotSuccession(01_BB_540, 01_HOOFD_061)';'NotSuccession';'01_BB_540';'01_HOOFD_061';1.000;0.484;0.296
'NotSuccession(01_BB_540, 01_HOOFD_065_0)';'NotSuccession';'01_BB_540';'01_HOOFD_065_0';1.000;0.453;0.277
'RespondedExistence(01_BB_540, 01_HOOFD_065_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_065_1';0.697;0.426;0.227
'NotChainSuccession(01_BB_540, 01_HOOFD_065_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_065_1';1.000;0.532;0.325
'NotSuccession(01_BB_540, 01_HOOFD_065_2)';'NotSuccession';'01_BB_540';'01_HOOFD_065_2';1.000;0.532;0.325
'NotSuccession(01_BB_540, 01_HOOFD_090)';'NotSuccession';'01_BB_540';'01_HOOFD_090';1.000;0.226;0.138
'NotSuccession(01_BB_540, 01_HOOFD_099)';'NotSuccession';'01_BB_540';'01_HOOFD_099';1.000;0.062;0.038
'NotChainSuccession(01_BB_540, 01_HOOFD_100)';'NotChainSuccession';'01_BB_540';'01_HOOFD_100';1.000;0.208;0.127
'NotSuccession(01_BB_540, 01_HOOFD_100_0)';'NotSuccession';'01_BB_540';'01_HOOFD_100_0';1.000;0.084;0.051
'NotSuccession(01_BB_540, 01_HOOFD_101)';'NotSuccession';'01_BB_540';'01_HOOFD_101';1.000;0.285;0.175
'NotChainSuccession(01_BB_540, 01_HOOFD_101b)';'NotChainSuccession';'01_BB_540';'01_HOOFD_101b';0.976;0.170;0.104
'RespondedExistence(01_BB_540, 01_HOOFD_110)';'RespondedExistence';'01_BB_540';'01_HOOFD_110';0.573;0.350;0.150
'NotChainSuccession(01_BB_540, 01_HOOFD_110)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110';1.000;0.429;0.262
'NotSuccession(01_BB_540, 01_HOOFD_110_0)';'NotSuccession';'01_BB_540';'01_HOOFD_110_0';1.000;0.425;0.260
'NotChainSuccession(01_BB_540, 01_HOOFD_110_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110_1';1.000;0.401;0.245
'NotChainSuccession(01_BB_540, 01_HOOFD_110_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110_2';1.000;0.403;0.247
'RespondedExistence(01_BB_540, 01_HOOFD_120)';'RespondedExistence';'01_BB_540';'01_HOOFD_120';0.571;0.349;0.148
'NotChainSuccession(01_BB_540, 01_HOOFD_120)';'NotChainSuccession';'01_BB_540';'01_HOOFD_120';1.000;0.422;0.258
'NotChainSuccession(01_BB_540, 01_HOOFD_130)';'NotChainSuccession';'01_BB_540';'01_HOOFD_130';1.000;0.234;0.143
'RespondedExistence(01_BB_540, 01_HOOFD_180)';'RespondedExistence';'01_BB_540';'01_HOOFD_180';1.000;0.612;0.575
'NotChainSuccession(01_BB_540, 01_HOOFD_180)';'NotChainSuccession';'01_BB_540';'01_HOOFD_180';0.999;0.611;0.574
'NotSuccession(01_BB_540, 01_HOOFD_190)';'NotSuccession';'01_BB_540';'01_HOOFD_190';1.000;0.116;0.071
